a0to1,b1to2,c2to5,d5to15,d15to100
236.2370353,472.76426,611.7733971,295.7619425,100.4580551
205.5544865,411.3613909,532.3161196,257.3483586,87.41067586
152.925325,306.0382791,396.0246424,191.4583074,65.03076748
246.6989247,493.7009179,638.8661025,308.8598983,104.9068459
109.7696334,219.6737692,284.2662029,137.4287418,46.67933651
130.658004,261.4762249,338.3599183,163.5803233,55.56186107
296.3374991,593.0391739,767.4129846,371.0058287,126.0150435
297.1933325,594.7518943,769.6292996,372.0773051,126.3789763
389.7352939,779.9497404,1009.281239,487.9369238,165.7313155
438.5556576,877.6505678,1135.709236,549.0584802,186.4915791
682.2504333,1365.340118,1766.795121,854.1566577,290.1198072
232.3056381,464.896626,601.5924269,290.8399572,98.78627647
1031.785195,2064.839934,2671.970268,1291.763161,438.755197
1965.441568,3933.302052,5089.820041,2460.671509,835.7811703
2052.344102,4107.214101,5314.867798,2569.470743,872.735412
1585.370141,3172.691314,4105.565406,1984.834064,674.1604366
2025.747606,4053.988367,5245.991995,2536.172768,861.4255767
2378.672355,4760.272332,6159.946047,2978.02343,1011.502517
3160.951228,6325.793098,8185.780017,3957.41192,1344.157057
2893.780523,5791.122788,7493.899526,3622.922618,1230.545977
2537.532209,5078.187603,6571.338581,3176.910959,1079.055731
2502.687372,5008.455034,6481.102406,3133.286322,1064.238389
2978.598976,5960.86411,7713.550229,3729.112649,1266.613989
1362.698126,2727.073164,3528.92126,1706.05572,579.4718807
1126.412035,2254.210105,2917.021329,1410.232983,478.9941056
983.954122,1969.118906,2548.104194,1231.880166,418.4156172
1721.919243,3445.957615,4459.180744,2155.789235,732.2262748
722.1419348,1445.172229,1870.100428,904.0995602,307.0831811
864.8645125,1730.793082,2239.702952,1082.783729,367.7742148
691.8429269,1384.536914,1791.63639,866.1661574,294.198898
