a0ti1,b1to2,c2to5,d5to15,e15to100
1413.879075,2829.496708,8205.339595,3966.870293,1347.375305
1102.228255,2205.811412,6396.698567,3092.483629,1050.385197
799.7798796,1600.542334,4641.463202,2243.915908,762.1646318
476.594534,953.773787,2765.882462,1337.167272,454.1826071
434.2990655,869.1307825,2520.424037,1218.500511,413.8768067
1799.661802,3601.537078,10444.19932,5049.245984,1715.009999
3188.376733,6380.676509,18503.49722,8945.509804,3038.396848
2507.939134,5018.963661,14554.63111,7036.432324,2389.968469
5294.976679,10596.46972,30728.98435,14855.91587,5045.897885
5977.304896,11961.96613,34688.8225,16770.29779,5696.127943
8717.179302,17445.08785,50589.46817,24457.45754,8307.112874
6243.254839,12494.19341,36232.24208,17516.46327,5949.567039
2210.814744,4424.349108,12830.29308,6202.801904,2106.821438
10350.8241,20714.38854,60070.19732,29040.91163,9863.907576
9824.708472,19661.5096,57016.92662,27564.80934,9362.541534
7522.088374,15053.43478,43653.85195,21104.4371,7168.241546
7387.75526,14784.60318,42874.26028,20727.54387,7040.227745
9854.709843,19721.54928,57191.03722,27648.98302,9391.131577
7929.077274,15867.9136,46015.78002,22246.31013,7556.084828
6953.191084,13914.93986,40352.30126,19508.30396,6626.106385
6110.251336,12228.02267,35460.36671,17143.30048,5822.820302
6956.460609,13921.48294,40371.27569,19517.47714,6629.222104
8090.748029,16191.45414,46954.02354,22699.90352,7710.15025
3982.348248,7969.596953,23111.24847,11173.12501,3795.018267
2940.968093,5885.554658,17067.68063,8251.364943,2802.626832
2244.423489,4491.607973,13025.33879,6297.096662,2138.849157
612.2527437,1225.257208,3553.164215,1717.778269,583.4591683
5997.266195,12001.9133,34804.66633,16826.30243,5715.15022
3032.873281,6069.478173,17601.04516,8509.219777,2890.208606
244.1523994,488.6033713,1416.922812,685.0133567,232.6750411
3762.708605,7530.04728,21836.58707,10556.89054,3585.710936
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
234.5473612,469.3814706,1361.180728,658.0648722,223.5218441
4735.822397,9477.47281,27483.97644,13287.11831,4513.047401
2984.21759,5972.106894,17318.67569,8372.708387,2843.841782
1383.986034,2769.673826,8031.85768,3883.000542,1318.888496
1167.738527,2336.912601,6776.882276,3276.283267,1112.813728
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1052.406524,2106.106616,6107.562066,2952.700722,1002.907185
1779.410049,3561.008641,10326.66986,4992.426422,1695.710931
491.4735956,983.5502271,2852.231926,1378.912881,468.3617262
135.6866981,271.5384428,787.4506437,380.6953299,129.3117954
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
106.2982975,212.7254631,616.8973718,298.2414299,101.3058872
72.39122402,144.869575,420.1203369,203.1096639,68.99387396
62.93969486,125.9548815,365.2691306,176.5918738,59.98696468
189.8192442,379.8701745,1101.604618,532.5729228,180.8978322
110.376281,220.8864502,640.5636278,309.6828704,105.1920336
306.8497442,614.0752441,1780.781922,860.9208744,292.4229704
203.131163,406.5103995,1178.859292,569.9216588,193.5835302
174.4363239,349.0853969,1012.33105,489.4136577,166.238557
675.2424449,1351.314153,3918.719992,1894.50604,643.4857009
2131.374801,4265.371428,12369.26962,5979.920325,2031.118517
1146.811351,2295.032488,6655.43306,3217.5687,1092.871011
638.6342377,1278.052673,3706.267141,1791.795808,608.5996211
151.9843907,304.1538911,882.0330211,426.4211363,144.8428101
517.3325637,1035.299997,3002.302414,1451.464388,493.0042339
512.1671374,1024.962785,2972.325269,1436.971951,488.0818002
980.8127177,1962.830869,5692.073042,2751.832747,934.6813031
2630.358037,5263.952171,15265.07959,7379.898311,2506.628529
3269.579503,6543.182012,18974.7511,9173.337277,3115.779667
2390.519892,4783.980629,13873.19778,6706.993695,2278.072876
